artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kodak Black,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",1vvcEHQdaUTvWt0EIUYcFK,90,0.715,0.681,10,-4.25,0,0.113,0.129,0.0,0.152,0.277,84.924,175802,4
KAROL G,AMARGURA,505v13epFXodT9fVAJ6h8k,92,0.92,0.696,6,-3.356,0,0.0742,0.183,0.0,0.149,0.545,106.966,170480,4
Chino Pacas,Dijeron Que No La Iba Lograr,7dR09k1an5JEq7ch0Y5hvV,88,0.703,0.791,7,-6.792,0,0.0657,0.255,0.0,0.106,0.759,142.219,113020,3
Lil Durk,War Bout It (feat. 21 Savage),4muwDurKeVOB1WBjTVRWlD,83,0.732,0.6,6,-9.057,0,0.241,0.00385,0.000114,0.112,0.436,167.973,160203,4
Eladio Carrion,Coco Chanel,0PB0O24JqAuNdOAFVJljMS,93,0.683,0.764,2,-5.995,1,0.0441,0.0427,0.0,0.0963,0.137,149.949,160325,4
Lil Uzi Vert,I Gotta,3lcfs9Qjfxzy00VSVkixDv,82,0.818,0.51,2,-7.05,0,0.408,0.209,0.0,0.211,0.416,129.057,173026,4
Don Toliver,Private Landing (feat. Justin Bieber & Future),52NGJPcLUzQq5w7uv4e5gf,84,0.843,0.669,1,-4.105,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,238253,4
Odetari,LOOK DON’T TOUCH (feat. cade clair),7E9kejvFw8NDfuu4y3hqkp,86,0.684,0.701,4,-11.994,0,0.0751,0.0875,0.135,0.111,0.498,124.969,138240,4
Metro Boomin,Hummingbird (Metro Boomin & James Blake),6HexNTb392JS071DoTGo0y,86,0.586,0.595,6,-7.851,1,0.127,0.459,0.00681,0.254,0.256,81.405,319493,4
NewJeans,OMG,65FftemJ1DbbZ45DUfHJXE,92,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253,4
